0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:05 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:05 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:06 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:31 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:32 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:59 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:59 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:59 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:05 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:11 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:12 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:12 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:13 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:34 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:34 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:08:34 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:09:50 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:09:50 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:09:50 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:02 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:02 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:32 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:32 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:32 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:46 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:46 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:46 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:46 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:47 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:51 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:51 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:51 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:56 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:56 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:10:56 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:11:17 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:35:09 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:35:38 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:35:38 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:35:41 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:36:21 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:36:21 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:36:27 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:37:37 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:37:48 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:40:31 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:40:31 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:40:31 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:41:31 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:41:31 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:42:52 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:42:52 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:42:52 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:43:21 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1398
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:43:22 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:43:22 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:43:56 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:43:56 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:44:11 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:44:11 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:44:12 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:44:20 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:44:44 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:44:45 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:44:45 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:44:45 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:45:28 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:45:36 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:45:38 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:45:47 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:45:49 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:45:50 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:45:50 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:46:18 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:49:02 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:49:02 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:49:02 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:49:31 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:49:32 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:49:32 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:50:28 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:52:24 +0900] "GET /JSPProject/03-07/prac02.html HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:52:24 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:52:25 +0900] "GET /favicon.ico HTTP/1.1" 404 815
